country,date,lineage,n
United Kingdom,2021-01-26,B.1,4
United Kingdom,2021-02-23,B.1.1.1,1
United Kingdom,2021-02-16,B.1.1.285,1
United Kingdom,2021-01-12,B.1.177.54,2
South Korea,2020-07-28,B,1
United Kingdom,2021-01-11,B.1.177.54,8
United Kingdom,2021-01-20,B.1.177.54,1
United Kingdom,2021-01-20,B.1.177.10,13
United Kingdom,2020-12-04,B.1.177.19,4
United Kingdom,2021-01-19,B.1.177.54,7
United Kingdom,2021-06-01,B.1.351,1
United Kingdom,2021-01-27,B.1.177.54,1
United Kingdom,2020-09-13,B.1.160,2
South Korea,2021-09-21,Unassigned,1
United Kingdom,2021-02-25,B.1.177.4,2
United Kingdom,2021-02-28,B.1.177.56,1
United Kingdom,2021-02-08,B.1.525,3
United Kingdom,2021-01-17,B.1.177.57,5
United Kingdom,2021-01-09,B.1.177.18,5
South Korea,2021-02-21,B.1.429,3
United Kingdom,2020-11-24,W.4,4
South Korea,2021-02-25,B.1.526,1
United Kingdom,2020-11-21,B.1.177.57,29
South Korea,2020-12-25,B.1.429,1
South Korea,2021-02-03,B.1.429,1
South Korea,2021-02-11,B.1.526,1
South Korea,2021-02-07,B.1.429,1
South Korea,2021-01-01,B.1.427,1
South Korea,2020-12-19,B.1.429,1
South Korea,2020-12-30,B.1.429,1
South Korea,2021-01-25,B.1.427,1
South Korea,2021-01-22,B.1.429,1
South Korea,2021-01-26,B.1.429,3
South Korea,2021-01-31,B.1.429,1
United Kingdom,2021-02-14,B.1.1.301,1
United Kingdom,2021-02-09,B.1.177.55,1
United Kingdom,2021-02-07,A.23.1,2
